odin-dashboard  | 2026-07-20T12:07:25.033146949Z INFO:     Started server process [1]
odin-dashboard  | 2026-07-20T12:07:25.033206800Z INFO:     Waiting for application startup.
odin-dashboard  | 2026-07-20T12:07:25.033375869Z INFO:     Application startup complete.
odin-dashboard  | 2026-07-20T12:07:25.040960416Z INFO:     Uvicorn running on http://0.0.0.0:8080 (Press CTRL+C to quit)
odin            | 2026-07-20T12:07:24.645281719Z 2026-07-20 12:07:24,645 WARNING gungnir: Capital.com endpoint: DEMO (https://demo-api-capital.backend-capital.com)
odin            | 2026-07-20T12:07:24.748289052Z 2026-07-20 12:07:24,748 INFO gungnir.strategy.registry: Loaded 28 strategies
odin            | 2026-07-20T12:07:24.749906892Z 2026-07-20 12:07:24,749 INFO gungnir: Gungnir starting in Capital.com-connected (DEMO) mode over 28 strategies
odin            | 2026-07-20T12:07:24.751826506Z 2026-07-20 12:07:24,751 INFO gungnir.risk.portfolio: Restored breaker state from data/risk_state.json (day=2026-07-20, same_day=True)
odin            | 2026-07-20T12:07:24.753381742Z 2026-07-20 12:07:24,753 WARNING gungnir.core.alerts: ALERT [startup]: operator alerts online (telegram)
odin            | 2026-07-20T12:07:24.754217911Z 2026-07-20 12:07:24,753 INFO gungnir.core.compliance: Restored compliance counter: 34 live orders already today
odin            | 2026-07-20T12:07:24.754596671Z 2026-07-20 12:07:24,754 INFO gungnir.core.agent: Consensus aggregation ON (veto 35%, family cap 40%)
odin            | 2026-07-20T12:07:24.760521384Z 2026-07-20 12:07:24,760 INFO gungnir.core.agent: Loaded RL policy from data/rl_policy.npz
odin            | 2026-07-20T12:07:25.587807568Z 2026-07-20 12:07:25,587 INFO gungnir.core.alerts: Alert delivered via Telegram
odin            | 2026-07-20T12:07:25.709929257Z 2026-07-20 12:07:25,709 INFO gungnir.execution.capital_session: Capital.com session established (demo)
odin            | 2026-07-20T12:07:25.711063888Z 2026-07-20 12:07:25,710 INFO gungnir.data.capital_com_feed: CapitalComMarketFeed ready for 18 symbols (stream=on)
odin            | 2026-07-20T12:07:25.712730132Z 2026-07-20 12:07:25,712 INFO gungnir.core.metrics: Prometheus metrics on :9109/metrics
odin            | 2026-07-20T12:07:26.527571245Z 2026-07-20 12:07:26,527 WARNING gungnir.core.alerts: ALERT [reconciliation]: unattributed broker positions adopted: ['AAPL', 'BTCUSD', 'ETHUSD', 'EURUSD', 'GBPUSD', 'GOLD', 'NVDA', 'TSLA']
odin            | 2026-07-20T12:07:26.541108941Z 2026-07-20 12:07:26,540 INFO gungnir.data.capital_ws: Quote stream connected (18 symbols)
odin            | 2026-07-20T12:07:27.320400443Z 2026-07-20 12:07:27,319 INFO gungnir.core.alerts: Alert delivered via Telegram
odin            | 2026-07-20T12:07:29.158412216Z 2026-07-20 12:07:29,158 INFO gungnir.data.news_feed: Fetched 30 news items
odin            | 2026-07-20T12:07:31.335802950Z 2026-07-20 12:07:31,335 INFO gungnir.data.news_feed: Fetched 1 Finnhub news items
odin            | 2026-07-20T12:07:39.146942664Z 2026-07-20 12:07:39,146 INFO gungnir.execution.broker: [PAPER] opened sell US100 vol=0.1000 @ 28833.40000
odin            | 2026-07-20T12:07:39.147817611Z 2026-07-20 12:07:39,147 INFO gungnir.execution.broker: [PAPER] opened sell US100 vol=0.1000 @ 28833.40000
odin            | 2026-07-20T12:07:39.148436389Z 2026-07-20 12:07:39,148 INFO gungnir.execution.broker: [PAPER] opened sell US100 vol=0.1000 @ 28833.40000
odin            | 2026-07-20T12:07:39.149065688Z 2026-07-20 12:07:39,148 INFO gungnir.execution.broker: [PAPER] opened buy US100 vol=0.1000 @ 28833.40000
odin            | 2026-07-20T12:07:39.149672503Z 2026-07-20 12:07:39,149 INFO gungnir.execution.broker: [PAPER] opened buy US100 vol=0.1000 @ 28833.40000
odin            | 2026-07-20T12:07:39.150365380Z 2026-07-20 12:07:39,150 INFO gungnir.execution.broker: [PAPER] opened sell US100 vol=0.1000 @ 28833.40000
odin            | 2026-07-20T12:07:39.150968647Z 2026-07-20 12:07:39,150 INFO gungnir.execution.broker: [PAPER] opened buy US100 vol=0.1000 @ 28833.40000
odin            | 2026-07-20T12:07:39.151630961Z 2026-07-20 12:07:39,151 INFO gungnir.execution.broker: [PAPER] opened buy US100 vol=0.1000 @ 28833.40000
odin            | 2026-07-20T12:07:39.152355341Z 2026-07-20 12:07:39,152 INFO gungnir.execution.broker: [PAPER] opened buy US100 vol=0.1000 @ 28833.40000
odin            | 2026-07-20T12:07:39.152919084Z 2026-07-20 12:07:39,152 INFO gungnir.execution.broker: [PAPER] opened buy US100 vol=0.1000 @ 28833.40000
odin            | 2026-07-20T12:07:39.153466561Z 2026-07-20 12:07:39,153 INFO gungnir.execution.broker: [PAPER] opened buy US100 vol=0.1000 @ 28833.40000
odin            | 2026-07-20T12:07:39.154068352Z 2026-07-20 12:07:39,153 INFO gungnir.execution.broker: [PAPER] opened sell US100 vol=0.1000 @ 28833.40000
odin            | 2026-07-20T12:07:39.154684838Z 2026-07-20 12:07:39,154 INFO gungnir.execution.broker: [PAPER] opened sell US100 vol=0.1000 @ 28833.40000
odin            | 2026-07-20T12:07:39.155247533Z 2026-07-20 12:07:39,155 INFO gungnir.execution.broker: [PAPER] opened sell US100 vol=0.1000 @ 28833.40000
odin            | 2026-07-20T12:07:39.155843053Z 2026-07-20 12:07:39,155 INFO gungnir.execution.broker: [PAPER] opened sell US100 vol=0.1000 @ 28833.40000
